INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,STRATUM_IND,ITEM_INDEX,ALL_GM_INDEX,GM_RA_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT
201608,210102,LARGE LOAF-WHITE-UNSLICED-800G,1,1,100.645,100.548,100.645,0.3,0.44,0.26
201608,210106,SIX BREAD ROLLS-WHITE/BROWN,1,1,101.051,101.18,101.051,0.6,0.72,0.52
201608,210111,WHITE SLICED LOAF BRANDED 750G,1,1,95.218,95.343,95.218,0.9,1.08,0.78
201608,210113,WHOLEMEAL SLICED LOAF BRANDED,1,1,103.752,103.755,103.752,0.75,0.88,0.65
201608,210114,CHILLED GARLIC BREAD,1,1,102.694,101.041,102.694,0.6,0.88,0.52
201608,210201,FLOUR-SELF-RAISING-1.5KG,1,1,99.301,99.37,99.301,0.3,0.2,0.26
201608,210204,DRY SPAGHETTI OR PASTA 500G,1,1,102.789,101.785,102.789,0.15,0.32,0.13
201608,210211,CORN SNACK SINGLE PACKET,1,1,100.577,100.502,100.577,1.05,0.6,0.91
201608,210212,BASMATI RICE 500G-1KG,1,1,99.22,96.621,99.22,0.3,0.6,0.26
201608,210213,BREAKFAST CEREAL 1,1,1,95.143,94.741,95.143,1.05,0.6,0.91
201608,210214,BREAKFAST CEREAL 2,1,1,99.379,99.205,99.379,1.8,1,1.56
201608,210215,CEREAL BAR,1,1,115.775,115.563,115.775,0.6,0.36,0.52
201608,210216,HOT OAT CEREAL,1,1,98.569,98.862,98.569,0.3,0.2,0.26
201608,210217,RICE MICRO POUCH/TRAY 220-280G,1,1,101.373,99.968,101.373,0.15,0.12,0.13
201608,210301,CREAM CRACKERS PACK 200G-300G,1,1,100.051,100.009,100.051,0.45,0.48,0.39
201608,210302,PLAIN BISCUITS-200-300G,1,1,95.911,95.287,95.911,1.2,1.44,1.04
201608,210317,FRUIT PIES 4-6 PACK,1,1,87.692,87.127,87.692,0.3,0.36,0.26
201608,210319,DOUGHNUT-EACH,1,1,99.967,97.943,99.967,0.75,0.9,0.65
201608,210320,WHOLE SPONGE CAKE NOT FROZEN,1,1,98.824,98.36,98.824,0.75,0.9,0.65
201608,210321,PACK OF 5-6 INDIVIDUAL CAKES,1,1,104.152,104.188,104.152,0.6,0.72,0.52
201608,210322,CHOCOLATE 11,1,1,105.705,105.689,105.705,0.6,1.2,0.52
201608,210403,HOME KILLED BEEF-LEAN MINCE KG,1,1,94.197,93.787,94.197,0.84,1.24,0.68
201608,210406,HOME KLD BEEF-RUMP/POPES STEAK,1,1,97.524,97.625,97.524,1.05,1.6,0.85
201608,210413,HOME KILLED BEEF-TOPSIDE KG,1,1,97.29,97.204,97.29,0.42,0.72,0.34
