INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,STRATUM_IND,ITEM_INDEX,ALL_GM_INDEX,GM_RA_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT
201607,210102,LARGE LOAF-WHITE-UNSLICED-800G,1,1,100.337,100.22,100.337,0.3,0.44,0.26
201607,210106,SIX BREAD ROLLS-WHITE/BROWN,1,1,99.304,98.592,99.304,0.6,0.72,0.52
201607,210111,WHITE SLICED LOAF BRANDED 750G,1,1,95.332,95.47,95.332,0.9,1.08,0.78
201607,210113,WHOLEMEAL SLICED LOAF BRANDED,1,1,99.146,99.046,99.146,0.75,0.88,0.65
201607,210114,CHILLED GARLIC BREAD,1,1,102.078,98.735,102.078,0.6,0.88,0.52
201607,210201,FLOUR-SELF-RAISING-1.5KG,1,1,97.918,97.739,97.918,0.3,0.2,0.26
201607,210204,DRY SPAGHETTI OR PASTA 500G,1,1,100.714,101.212,100.714,0.15,0.32,0.13
201607,210211,CORN SNACK SINGLE PACKET,1,1,100.807,100.728,100.807,1.05,0.6,0.91
201607,210212,BASMATI RICE 500G-1KG,1,1,99.339,99.299,99.339,0.3,0.6,0.26
201607,210213,BREAKFAST CEREAL 1,1,1,99.856,100.075,99.856,1.05,0.6,0.91
201607,210214,BREAKFAST CEREAL 2,1,1,93.187,92.315,93.187,1.8,1,1.56
201607,210215,CEREAL BAR,1,1,114.717,115.597,114.717,0.6,0.36,0.52
201607,210216,HOT OAT CEREAL,1,1,97.819,98.012,97.819,0.3,0.2,0.26
201607,210217,RICE MICRO POUCH/TRAY 220-280G,1,1,98.603,96.732,98.603,0.15,0.12,0.13
201607,210301,CREAM CRACKERS PACK 200G-300G,1,1,100.053,100.008,100.053,0.45,0.48,0.39
201607,210302,PLAIN BISCUITS-200-300G,1,1,95.472,94.911,95.472,1.2,1.44,1.04
201607,210317,FRUIT PIES 4-6 PACK,1,1,93.028,91.979,93.028,0.3,0.36,0.26
201607,210319,DOUGHNUT-EACH,1,1,100.616,99.653,100.616,0.75,0.9,0.65
201607,210320,WHOLE SPONGE CAKE NOT FROZEN,1,1,94.844,96.322,94.844,0.75,0.9,0.65
201607,210321,PACK OF 5-6 INDIVIDUAL CAKES,1,1,105.804,106.369,105.804,0.6,0.72,0.52
